Temperature_C,Humidity_pct,CO2_ppm,Illuminance_lux,Productive
26.0,71.0,629,0,0
23.4,63.9,842,184,1
26.6,50.9,583,296,1
30.1,40.3,776,871,1
23.1,60.5,400,539,1
23.1,55.9,985,66,1
30.3,63.4,900,521,0
27.1,59.5,573,13,0
22.1,65.7,1163,670,1
26.2,42.0,1275,282,0
22.1,69.8,400,376,1
22.1,53.0,594,731,1
25.0,81.1,592,78,0
16.3,39.7,524,50,0
17.1,76.0,1231,254,0
21.8,53.0,822,659,1
19.9,40.2,794,20,0
25.3,42.7,400,0,1
20.4,45.2,1154,287,1
18.4,56.4,404,537,1
29.9,57.8,923,700,1
23.1,41.4,1010,284,0
24.3,49.6,1444,297,0
18.3,82.1,400,688,1
21.8,75.9,400,0,0
24.4,56.5,973,302,1
19.4,50.6,1620,447,0
25.5,51.8,1395,512,0
21.6,59.2,983,272,1
22.8,34.7,703,408,1
21.6,46.1,1222,0,0
31.4,25.0,510,235,0
23.9,56.0,1090,513,1
19.8,59.7,1102,154,0
27.3,42.8,1324,414,0
19.1,73.6,2003,511,0
24.8,31.6,1056,314,1
16.2,28.0,696,442,1
18.7,53.4,889,159,0
24.8,65.7,400,348,1
27.0,75.3,622,552,1
24.7,43.1,736,439,1
23.5,66.2,690,253,1
22.8,49.4,960,456,1
18.1,47.4,571,578,1
21.1,63.3,1348,0,0
22.2,59.8,900,689,1
28.2,26.4,896,315,1
25.4,72.1,768,506,1
16.9,70.7,962,699,1
25.3,40.6,1230,57,0
22.5,55.9,553,222,1
21.3,57.4,636,327,1
26.4,53.9,778,204,1
28.1,41.7,400,833,0
27.7,39.9,572,185,1
20.6,49.6,709,261,1
22.8,67.6,1249,451,1
25.3,58.2,1005,99,0
27.9,44.4,977,301,1
22.1,61.6,1240,479,1
23.3,7.3,845,316,1
19.6,67.2,1056,376,0
19.2,23.9,858,267,0
27.3,44.6,1006,21,0
29.4,33.2,666,480,0
23.7,30.6,400,838,1
28.0,67.4,846,404,1
